code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
0256312008627,"Fairlife, Purely Nutritious Milk",Fairlife Llc,,united-states,,,,unknown,,unknown,"Reduced fat filtered milk (high protein, high calcium, reduced sugar), lactose enzyme, vitamin a palmitate, vitamin d3",2.5,50.0
0811620020169,Whole ultra-filtered milk,fairlife,"beverages-and-beverages-preparations, beverages, dairies, milks-liquid-and-powder, dairy-drinks, milks, whole-milks",united-states,,,,b,1.0,,"ultra-filtered milk, lactase enzyme, vitamin a palmitate, vitamin d3,",,
0811620020398,Chocolate Reduced Fat Ultra-Filtered Milk,fairlife,"beverages-and-beverages-preparations, beverages, dairies, milks-liquid-and-powder, dairy-drinks, milks, flavoured-milks, chocolate-milks",united-states,,,,d,4.0,,"Low fat ultra-filtered milk, sugar, alkalized cocoa, natural flavor, sea salt, acesulfame potassium, sucralose, carageenan, lactase enzymes, vitamin a palmitate, vitamin d3",,
0811620020404,STRAWBERRY 2% REDUCED FAT ultra-filtered milk,fairlife,"beverages-and-beverages-preparations, beverages, dairies, milks-liquid-and-powder, dairy-drinks, milks, flavoured-milks, strawberry-milks",united-states,,,,d,4.0,,"Low fat ultra-filtered milk, sugar, natural flavor, red beet juice concentrate (color), lactase enzyme, acesulfame potassium, sucralose, carrageenan, sea salt, vitamin A palmitate, vitamin D3",,
0811620021012,Rich chocolate nutrition shake with honey & oats,Fairlife Smart Milkshakes,"dairies, milks",united-states,,,,d,4.0,d,"Filtered reduced fat grade a milk, honey, alkalized cocoa, oat flour, fructooligosaccharides, monk juice concentrate, stevia leaf extract, natural flavors, pectin, gellan gum, sodium polyphosphate, lactase enzyme, vitamin a palmitate, vitamin k (menaquinone), vitamin c (ascorbic acid), vitamin e (tocopherols), vitamin d3.",4.58,71.0
0856312002207,Power by fairlife high protein milk shake bottle,Fair Oaks Farms Brands  Inc.,beverages,united-states,,,,c,4.0,unknown,"Filtered lowfat grade a milk, cane sugar, honey, alkalized cocoa, contains less than 1% of natural flavors, sodium polyphosphate, lactase enzyme, carrageenan, vitamin a palmitate, vitamin d3.",7.6470588235294,70.588235294118
0856312002634,"Fairlife, Purely Nutritious Milk",Fair Oaks Farms Brands  Inc.,,united-states,,,,unknown,4.0,unknown,"Reduced fat filtered milk (high protein, high calcium, reduced sugar), sugar, alkalized cocoa, less than 1% of corn starch, natural flavor, dipotassium phosphate, lactase enzyme, salt, acesulfame potassium, carageenan, artificial flavor, sucralose, vitami",5.0,58.0
0856312002757,FAIRLIFE LACTOSE FREE FAT FREE MILK,fairlife,"dairies, milks-liquid-and-powder, milks, skimmed-milks, lactose-free-milk, Protein",united-states,,,,b,1.0,,"ultra filtered milk, lactase enzyme, vitamin A palmitate, vitamin D3",,
0856312002795,Chocolate Reduced Fat Ultra-filtered milk,fairlife,"beverages-and-beverages-preparations, beverages, dairies, milks-liquid-and-powder, dairy-drinks, milks, flavoured-milks, chocolate-milks, Chocolate reduced milk",united-states,plastic,,,d,4.0,,"REDUCED FAT ULTRA-FILTERED MILK, SUGAR, ALKALIZED COCOA, LACTASE ENZYME, DIPOTASSIUM PHOSPHATE, SALT, ACESULFAME POTASSIUM, CARRAGEENAN, NATURAL AND ARTIFICIAL FLAVORS, SUCRALOSE, VITAMIN A PALMITATE, VITAMIN D3. CONTAINS MILK.",,
0811620020657,CORE POWER ELITE VANILLA High Protein Milkshake,fairlife,"dairies, milks-liquid-and-powder, milks, dietary-supplements, bodybuilding-supplements, protein-shakes, Plastic bottle",united-states,,,,not-applicable,4.0,,"filtered lowfat grade A milk, natural flavors, lactase enzyme, acesulfame potassium, carrageenan, monk fruit juice concentrate, salt, cellulose gel, cellulose gum, stevia leaf extract, sucralose, vitamin A palmitate, vitamin D3",,
0811620021951,Core Power High Protein Milk Shake Chocolate,fairlife,"beverages-and-beverages-preparations, beverages, dairies, dairy-drinks, dietary-supplements, bodybuilding-supplements, protein-shakes",united-states,plastic,,,not-applicable,4.0,,"FILTERED LOW FAT GRADE A MILK, ALKALIZED COCOA, NATURAL FLAVORS, MONK FRUIT JUICE CONCENTRATE, STEVIA LEAF EXTRACT, CARRAGEENAN, CELLULOSE GEL, CELLULOSE GUM, ACESULFAME POTASSIUM, SUCRALOSE, LACTASE ENZYME, VITAMIN A PALMITATE, VITAMIN D3.",,
0811620021388,Dha omega-3 whole ultra-filtered milk,Fairlife,"dairies, milks",united-states,,,,b,3.0,d,"Ultra-filtered milk, dha omega-3 (algal oil), lactase enzyme, vitamin a palmitate, vitamin c (ascorbic acid), vitamin e (tocopherols), vitamin d3",3.33,62.5
0811620021784,ultrafiltered partly skimmed milk,fairlife,"beverages, dairies, dairy-drinks, milks, semi-skimmed-milks, cow-milks, lactose-free-milk",canada,"plastic, bottle",Metro,Canada,b,1.0,,"Ultrafiltered partly skim milk, Lactase enzyme, Vitamin A palmitate, Vitamin D3.",,
0811620022118,Chocolate Nutrition Shake,fairlife,"dietary-supplements, bodybuilding-supplements, protein-shakes, Batidos, Batidos de proteínas, Bebidas",united-states,"plastic, pet-polyethylene-terephthalate, bottle",,,not-applicable,4.0,,"FILTERED LOWFAT GRADE A MILK, CONTAINS LESS THAN 1% OF: ALKALIZED COCOA, NATURAL FLAVORS, CELLULOSE GEL, CELLULOSE GUM, SALT, CARRAGEENAN, LACTASE ENZYME, MONK FRUIT JUICE CONCENTRATE, ACESULFAME POTASSIUM, SUCRALOSE, STEVIA LEAF EXTRACT, VITAMIN A (PALMITATE), VITAMIN D3",,
0072060001327,Swiss Chocolate Protein Drink,Fairlife,"beverages-and-beverages-preparations, beverages, dairies, dairy-drinks, flavoured-milks, chocolate-milks",united-states,,,,e,4.0,,"grade a milk, nonfat dry milk solids, sugar, cocoa (processed with alkali), salt, carrageenan, natural and artificial flavors, vitamin d3,",,
0811620022125,Vanilla nutrition shake,Fairlife,"dietary-supplements, bodybuilding-supplements, protein-shakes",,bottle,,,not-applicable,4.0,,"LOWFAT MILK, NATURAL FLAVORS, MICROCRYSTALLINE CELLULOSE, CELLULOSE GUM, MALTODEXTRIN, CARRAGEENAN, LACTASE ENZYME, ACESULFAME POTASSIUM, SUCRALOSE, MONK FRUIT EXTRACT, SALT, STEVIA EXTRACT, VITAMIN A (palmitate)",,
0811620020879,2% Reduced Fat ultra-filtered milk,fairlife,"dairies, milks-liquid-and-powder, milks, dietary-supplements, bodybuilding-supplements, protein-shakes",united-states,,,,not-applicable,,,"Reduced fat ultra-processed milk, lactose enzyme, vitamin d3, vitamin A palminate, contains milk.",,
0811620020626,Core Power Elite Chocolate,fairlife,beverages,united-states,,,,c,4.0,,"Filtered lowfat grade a milk, cane sugar, banana puree, strawberry puree, contains less than 1% of natural flavors, honey, monk fruit juice concentrate, stevia leaf extract, pectin, gellan gum, lactase enzyme, vitamin a palmitate, vitamin d3",5.42,62.0
0811620020893,Superkids ultra-filtered milk chocolate,Fairlife,"dairies, milks",united-states,,,,c,4.0,,"Ultra-filtered milk, cane sugar, alkalized cocoa, natural flavors, dha omega-3 (algal oil), monk fruit juice concentrate, salt, carrageenan, lactase enzyme, vitamin e (tocopherols), vitamin c (ascorbic acid), vitamin a palmitate, vitamin d3",5.0,58.3
0811620021418,1% low fat ultra-filtered milk,Fairlife,"dairies, milks",united-states,,,,b,1.0,,"Low fat ultra-filtered milk, lactase enzyme, vitamin a palmitate, vitamin d3.",,
0811620022248,Lait frappé riche en protéines,fairlife,,canada,,,,unknown,4.0,,"ultrafiltered partly skimmed milk, lactose free milk, partly skimmed milk, vitamin A palmitate, vitamin D3, lactase enzyme, strawberry puree, banana puree, natural flavor, cellulose gel, concentrated monk fruit juice, sodium phosphate, cellulose gum, stevia leaf extract, carrageenan, acesulfame-potassium, sucralose",,
21160202,fairlife protien shake chocolate,,,united-states,,,,unknown,4.0,unknown,"60% protein 30g calcium 730mg 60% potassium 460mg 10% m ang 10% viemin a 180mog 20% vitamin b12 1,4mcg 60% | phosphorus 510mg 40% • negresium 70mg 15% • selenium 13mog 25% the % daily value tells you how much a nutrient in a serving of food contributes to a daily diet, 2,000 calonies a day is used for general nutrition advice, lodine 63mog 40% zinc 3,1mg 30% chloride 480mg 20% asredients: fltered lowfat grade a milk, contains less thi % of alkalized cocoa, natural flavors, cellulose ge, lose gum, salt, carrageenan, lactase enzyme monk june comentrate, acesulfame potassium, sucralose, stevia leaf extract, maltodextrin, vitamin a (palmtate, vitamin d3, contains milk, aseptically pasteurized lactose free gluten free fairlife llc, chicago, il 60607 let's chat! 855-livefair www,fairlife,com/love-it refrigerate",,
0811620020671,Chocolate reduced fat ultra filttered milk,Fairlife,,united-states,,,,unknown,,,,1.69,55.6
0811620021791,ultrafiltered WHOLE MILK,fairlife,"beverages-and-beverages-preparations, beverages, dairies, milks-liquid-and-powder, milks",canada,"plastic, bottle-or-vial, bottle","Metro,Real Canadian Superstore","Calgary,Alberta,Canada",b,1.0,,"Ultrafiltered milk (origin Canada), Lactase enzyme, Vitamin D3",,
0811620021777,Partially Skimmed Chocolate Milk,fairlife,"beverages-and-beverages-preparations, beverages, dairies, milks-liquid-and-powder, dairy-drinks, milks, flavoured-milks, chocolate-milks",canada,"plastic, bottle",,,d,4.0,,"Ultrafiltered partly skimmed milk (ultrafiltered partly skimmed milk, lactase enzyme, vitamin A palmitate, vitamin D3), Sugar, Alkalized cocoa, Potassium phosphate dibasic, Salt, Acesulfame-potassium, Carrageenan, Natural and artificial flavours, Sucralose",,
0811620020695,Milk,Fairlife,,united-states,,,,unknown,,,,,
0811620022750,Fairlife Nutrition Plan Salted Caramel Nutrition Shake,Fairlife,"dietary-supplements, bodybuilding-supplements, protein-shakes",united-states,plastic,,,a,4.0,unknown,"filtered lowfat grade a milk, contains less than 1% of natural flavors, salt, lactase enzyme, cellulose gel",2.0,150.0
0811620022194,Fairlife protein drink,Fairlife,"beverages-and-beverages-preparations, beverages, dairies, milks-liquid-and-powder, dairy-drinks, milks",united-states,,,,b,4.0,,"filtered lowfat grade a milk, contains les than 1% of, alkalized cocoa, natural flavors, cellulisem, cllulose gum, salt, carrageenan, lactase enzyme, mon frui juce concentrate, acesulfame potassium, sucralose steva leaf extract, maltodextrin, vitamin a (palmitate), vitamin d3",0.588,44.1
