code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
0723246245027,"Maaza, Mango Juice",House Of Spices,,united-states,,,,unknown,4.0,unknown,"Water, pure mango pulp, sugar, citric acid, natural & artificial mango flavors, preservatives: sodium benzoate and potassium meta bi-sulphite. ascorbic acid, color fd & c yellow # 6.",12.8,56.0
0755270000310,Jus De Litchi Maaza 1L Pay Bas,Maaza,jus-de-litchi,france,,,,c,,,,,
0755270000358,Jus De Guana Bana (corossol) Maaza 1L Pay Bas,Kern's Nectar,,france,bouteille,,,unknown,,,,,
0755270000365,Jus De Mangue 1L,Maaza,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, mango-based-beverages",france,,,,e,4.0,,"eau, purée de mangue (21%), sucre, acidulant: acide citrique, aromes",,
0755270000518,Maaza Lychee,Maaza,"beverages, sweetened-beverages",france,,,,e,4.0,,"eau, purée de litchi (18%), sucre, stabilisant: xanthan, acidulant: acide citrique, arômes de litchi",,
0755270000549,Maaza Tropical Fles,Maaza,,france,,,,unknown,,,,,
0755270000556,Maaza Guava,Maaza,,france,,,,unknown,,,,,
0755270000563,Mango,maaza,,france,,,,unknown,4.0,,"eau, purée de mangue (18%), sucre, acidulant: acide citrique, arômes de mangue,",,
8718226320025,Maaza guava,Maaza,"beverages, sweetened-beverages",france,,,,e,4.0,,"eau, purée de goyave (15%), sucre, acidulant: acide citrique, arômes, colorant: carmin.",,
8718226321015,Tropical juice drink,Maaza,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, unsweetened-beverages, sweetened-beverages",france,"plastic, bottle",Action,France,e,4.0,,"Eau, 25 % jus (purée de banane 10 % - pomme 10 % - ananas 2 % - jus de citron 2 %, pêche à base de concentré), sucre, acidifiant : acide citrique, arômes, colorant : B-carotène.",,
8718226321022,Maaza Guava,Maaza,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, sweetened-beverages",france,bouteille-plastique,,,e,4.0,,"Eau, purée de goyave (18%), sucre, acidulant : acide citrique, arômes, colorant : carmin.",,
8718226321039,Maaza Juice Drink Mango,Maaza,beverages,france,,,,e,,,,,
8718226321510,Maaza tropical non carbonated juive drink,Maaza,,france,,,,unknown,,,,,
8718226321527,Maaza Guava,Maaza,"beverages, sweetened-beverages",france,,,,c,,,"puree de goyave (ü 0 90), sucre, acjduldint• aci catmin.",,
8718226321534,Mango Juice drink,Maaza,"beverages, sweetened-beverages, boisson-non-gazeuse-aux-jus-de-fruits",france,canette-aluminium,AZ sasu 45 rue Heurtault 93300 Aubervilliers,"Aubervilliers,France",e,4.0,,"eau, purée de mangues (18%), sucre, acidulant : acide citrique, arômes",,
8718226321572,Banana,Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices",france,,,,d,,,,,
8718226322005,Jus de Lychee,Maaza,beverages,france,,,,e,4.0,,"Eau, purée de litchi (18%), sucre acidulant: acide citrique, stabilisant: xanthan  arômes.",,
8718226322012,Tropical Pet,Maaza,"beverages, sweetened-beverages",france,,,,e,4.0,,"eau, 25% Jus (pu pomme 10% -, ananas 2 /0 - t jus e à base de concentré), sucre, cc i ique, arômes, colorant: B-carotène",,
8718226322029,Juice Drink,Maaza,beverages,france,,,,e,4.0,,"eau, purée de goyave (18% ), sucre, acidulant: acide citrique, arômes, colorant: carmin",,
8718226322036,Jus de Mangue,Maaza,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages",france,"plastic, bottle",,"France,",e,4.0,,"Eau, purée de mangue (18 %), sucre, acidifiant, acide citrique, arômes",,
8718226322043,Jus de passion,Maaza,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, unsweetened-beverages, sweetened-beverages",france,"plastic, bottle",,France,e,4.0,,"Eau jus de fruit de la passion à base de concentré (14 %), sucre, stabilisant: cmc,arôme.",,
8718226322050,Maaza Fruit Punch Pet,Maaza,"beverages, sweetened-beverages",france,,,,e,4.0,,"Eau, 27% jus ( purée de poire 9%, pomme 8%, ananas 8%, jus de cerise 2% à base de concentré), sucre, acidulant : acide citrique, arôme, colorant : carmin.",,
8718226322098,Maaza Coconutwater & Mango Pet,Maaza,,france,,,,unknown,,,,,
8718226322500,Juice deink,Maaza,,france,,,,unknown,,,,,
8718226322517,Maaza Tropical Pet,Maaza,beverages,france,,,,e,,,,,
8718226322531,Maaza Mango Pet,Maaza,"beverages, sweetened-beverages",france,,,,e,4.0,,"eau, 26% Jus (purée de mangue 21%, raisin 4%% citron 1% à base de concentré), sucre, antioxydant: acid ascorbique, arômes",,
8718226323002,Lychee,Maaza,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, unsweetened-beverages, sweetened-beverages","france, germany","brick, cardboard",Auchan,"Noyelles-Godault,France",e,4.0,,"Eau, purée de litchi (18%), sucre, acidulant: acide citrique, antioxydant: acide ascorbique, stabilisant: xanthan, arômes",,
8718226323019,Banana Juice Drink,Maaza,"beverages-and-beverages-preparations, beverages, sweetened-beverages",netherlands,,,,e,4.0,,"water, banana puree (23%), lemon juice from concentrate (2%), sugar, acidulant: citric acid, antioxidant: ascorbic acid, flavorings,",,
8718226323026,Tropical,Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, seafood, fishes-and-their-products, fishes, plant-based-beverages, fruit-based-beverages, sweetened-beverages, tonguesole",netherlands,brick,,,e,4.0,,"eau, 25% jus (purée de banane 10%, pomme 10%, ananas 2%, jus de citron 2%, pêche à base de concentré), sucre, acidulant : acide citrique, arômes, colorant : b-carotène",,
8718226323033,Guava Juice Drink,Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, unsweetened-beverages, sweetened-beverages",netherlands,"brick, cardboard",,,e,4.0,,"water, guava puree (18%), grape juice (3%), sugar, acidulant: citric acid, aromas, color: carmine",,
8718226323040,Mango Fruit Drink,Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, sweetened-beverages",netherlands,,,,e,4.0,,"mangue 17%, sucre, stabilisant (pectine), acidificiant (acide citrique), antioxydant (acide ascorbique), arôme, colorant (bêta-carotène).",,
8718226323057,papaya juice drink,Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, sweetened-beverages, boissons-a-la-papaye",france,"brick, cardboard",,,e,4.0,,"eau, purée de papaye (25%), sucre, acidulant : acide citrique, arôme.",,
8718226323064,"Passionsfruchtsaft, Passionsfrucht",Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices",netherlands,,,,e,1.0,,"water, passion fruit with a stabilizing sugar base",,
8718226323071,Maaza Soursop (Corossol) Fruit Drink,Maaza,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-nectars, sweetened-beverages","france, senegal","tetra-pak, brick, cardboard",,"Sénégal,France",e,4.0,,"Eau, purée de corossol (18%), sucre, acidifiant : acide citrique, stabilisant: pectine, arômes.",,
8718226323088,Coconut water & mango,Maaza,"beverages-and-beverages-preparations, beverages, sweetened-beverages","france, germany","cardboard, paperboard",,,e,4.0,,"eau, eau de noix de coco a base de concentré (20%), purée de mangue (10%), sucre, acidulant: acide citrique, antioxydant; acide ascorbique, arômes.",,
8901764092206,Maaza,"Mazza, The Coca-Cola Company","beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, juices-and-nectars, juice",india,,,,e,4.0,,"WATER, MANGO PULP (19.5%), SUGAR, ACIDITY REGULATORS (330, 331(iii)), ANTIOXIDANT (300), PRESERVATIVE (202), COLOUR (110), MANGO FLAVOURS (NATURAL, NATURE-IDENTICAL & ARTIFICIAL FLAVOURING SUBSTANCES).",,
8718226321008,Maaza lychee,Maaza,,france,bottle,,,unknown,,,,,
11017630,,Maaza,,india,,,,unknown,,unknown,,,
27030639,Mango,maaza,,belgium,,,,unknown,,,,,
8718226323514,Ptemium coconut water mango,Maaza,,,,,,unknown,,unknown,,5.3,70.0
8901764092305,Maaza Origina,HINDUSTAN COCA-COLA BEVERAGES PVT LTD.,"beverages-and-beverages-preparations, beverages, sweetened-beverages",india,,,,e,4.0,,"WATER, MANGO PULP (19.5%), SUGAR, ACIDITY REGULATOR (330), ANTIOXIDANT(300) AND PRESERVATIVE (202) CONTAINS PERMITTED SYNTHETIC FOOD COLOUR (110) AND ADDED MANGO FLAVOURS (NATURAL, NATURE-IDENTICAL AND ARTIFICIAL FLAVOURING SUBSTANCES).",,
8718226323507,Coconut Water,Maaza,,france,,,,unknown,,,,,
8718226323521,Coconut water,Maaza,,spain,,,,unknown,,,,,
8718226322234,Maaza mango,Maaza,,france,,,,unknown,,,,,
8718226323156,Pome Granate Juice Drink,Maaza,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices",france,,,,e,,,,,
8901764175022,maaza,Coca cola,"beverages-and-beverages-preparations, beverages, sweetened-beverages",india,,,,unknown,,,,,
8718226322227,Maaza Guava,Maaza,"plant-based-foods-and-beverages, beverages, plant-based-foods, fruits-and-vegetables-based-foods, fruits-based-foods, plant-based-beverages, fruit-based-beverages, fruits, juices-and-nectars, fruit-nectars, tropical-fruits, guava-nectars, guavas, sweetened-beverages",netherlands,plastic-bottle,,,c,,d,,10.6,45.0
8718226322241,Mazza passion fruit,Maaza,,france,,,,unknown,,,,,
8718226321565,Sparkling guava,Maaza,,france,,,,unknown,,,,,
