code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
0025000034824,"Minute maid, sparkling juice drink, fruit punch",Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages","france, united-states",,,,c,4.0,,"Carbonated water, grape and apple juices from concentrate, sugar, pineapple juice from concentrate, less than 0.5% of: natural flavors, citric acid (provides tartness), modified cornstarch, glycerol ester of rosin, sodium benzoate and potassium sorbate and sodium hexametaphosphate and calcium disodium edta (to protect taste), sucralose, acesulfame potassium, red #40.",,
0025000047244,Fruit Cooler Lemonade,Minute Maid,"beverages, carbonated-drinks, sodas, lemonade",france,,,,e,,,,,
0025000056017,100% Apple Juice,Minute Maid ,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, unsweetened-beverages, apple-juices, squeezed-juices, squeezed-apple-juices",united-states,,,,unknown,,c,,,
0025000056031,100% Orange Juice,Minute Maid,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, fruit-juices-from-concentrate, orange-juices, orange-juices-from-concentrate",united-states,,,California,e,1.0,a,"pure filtered water, concentrated orange juice, vitamin c (ascorbic acid).",10.0,48.9
0025000058073,Lemonade,Minute Maid,"beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas, lemonade",france,,,,e,4.0,,"Pure filtered water, high fructose corn syrup, lemon juice from concentrate, natural flavors, citric acid (provides tartness), modified cornstarch, Ester gum E445, sodium benzoate and potassium sorbate and calcium disodium EDTA, yellow #5",,
0025000061516,100% apple juice,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, unsweetened-beverages, apple-juices","france, united-states",,,,e,,,"CONTAINS PURE FILTERED WATER, CONCENTRATED APPLE JUICE, VITAMIN C (ASCORBIC ACID).",,
0025000061530,100% ORANGE JUICE,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, orange-juices",united-states,pet-bottle,,,e,1.0,,"pure filtered water, concentrated orange juice, vitamin c (ascorbic acid)",,
0025000063213,Original 100% orange juice ,Minute Maid,,united-states,,,,unknown,,unknown,,,
0059600048134,Orange Minute Maid,"Minute Maid,Coca cola","plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, orange-juices",saint-pierre-and-miquelon,brick,,Saint Pierre et Miquelon,e,1.0,c,"filtered water, concentrated orange juice",10.0,48.0
0059600060594,Minute Maid Orange,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices",france,,,,unknown,,,,,
0059600061904,Limonade,Minute Maid,,"canada, france",,,,unknown,4.0,,"Filtered water, Lemon juice from concentrate, Sugar/glucose-fructose, Natural flavour. Ingrédients : Eau filtrée, Jus de citron fait de concentré, Sucre/glucose-fructose, Essence naturelle. CHILL AND SHAKE WELL BEFORE SERVING. REFRIGERATE",,
0059600061942,Watermelon,Minute maid,"beverages, unsweetened-beverages, sweetened-beverages",france,cardboard,,,e,4.0,,"Filtered water, Sugar/glucose - fructose, Fruit juices from concentrate (grape and/or pear and/or apple and watermelon), Citric acid, Ascorbic acid (vitamin C), Natural flavour.

Eau filtrée, Sucre/glucose - fructose, Jus de fruits faits de concentré (raisin et/ou poire et/ou pomme et melon d'eau), Acide citrique, Acide ascorbique (vitamine C), Essence naturelle.",,
0059600070159,Five Alve,"Minute Maid, Coca-Cola",,canada,,,,unknown,,,,,
0059600070241,"Jus D'orange (original, Faible En Pulpe)",Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, orange-juices, squeezed-juices, squeezed-orange-juices","canada, france",,,,e,1.0,,"EAU FILTRÉE, JUS D'ORANGE CONCENTRÉ.",,
0059600070876,Jus d'orange,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, orange-juices",france,plastic,,,unknown,1.0,,"Filtered water, concentrated orange juice",,
0059600070937,Cocktail de pamplemousse rose,Minute Maid,,france,,,,unknown,,,,,
00817141,Lemonade,Minute Maid,"beverages, carbonated-drinks, sodas, lemonade, sweetened-beverages",united-states,,Jewel Osco,"Chicago,Illinois,USA",e,4.0,not-applicable,"pure filtered water, high fructose  corn  syrup, lemon juice from concentrate (12%), lemon pulp, natural flavors, sugar,",11.7,45.8
02505008,100% juice blend,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, fruit-juices-from-concentrate, multifruit-juices, multifruit-juices-from-concentrate",united-states,"box, card, pasteurized",,Pennsylvania,d,4.0,e,"Contains apple, pear and grape juices from concentrate, less than 2% of: pineapple juice from concentrate, natural flavors, calcium citrate (calcium source), vitamin c (ascorbic acid), citric acid (provides tartness), potassium phosphate.",10.73,51.0
02520609,Duvalin Bi Sabor,"Minute Maid,Coca-Cola","plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, unsweetened-beverages, apple-juices, fruit-juices-from-concentrate, apple-juices-from-concentrate",united-states,,,California,e,,,"APPLE JUICE CONTAINS PURE FILTERED WATER, CONCENTRATED APPLE JUICE, LESS THAN 0.5% OF: CALCIUM CITRATE (CALCIUM SOURCE), VITAMIN C (ASCORBIC ACID), POTASSIUM PHOSPHATE. PRODUCED FOR THE COCA-COLA COMPANY ATLANTA, GA 30313 U.S.A. CONTAINS APPLE JUICE CONCENTRATE FROM THE U.S.A., ARGENTINA, AUSTRIA, CHILE, CHINA, GERMANY AND TURKEY.",11.0,50.0
05965930,Orange Juice,Minute Maid,,canada,,,,unknown,,,,,
11206388,Minute Maid Orange Original,Minute Maid,,france,,,,unknown,,,,,
11218368,100 % Jus d'orange,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, orange-juices, squeezed-juices, squeezed-orange-juices",france,"can, drink-can",,,unknown,,,,,
2000000003788,Minute Maid (30cl) *,"Mcdonald's, Minute Maid","plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, fruit-juices-from-concentrate, orange-juices, orange-juices-from-concentrate",france,"cardboard, tumbler",McDonald's,"Paris,France",c,1.0,,Jus d'orange à base de jus d'orange concentré.,,
32346565,Réa,Minute Maid,,france,,,,unknown,,,,,
3292090941579,Minute Maid Orange,Minute Maid,beverages,france,,,,e,,,Jus d'orange à base de jus d'oranges concentré,,
3292090941692,Minute Maid Pommes,Coca Cola Company,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, non-alcoholic-beverages, unsweetened-beverages, apple-juices","france, martinique, switzerland",,,,c,1.0,,Jus de pomme à base de concentré.,,
3409664796026,Fruit & Nada Citron avec un touche de citron vert,"Fruit & Nada, Minute Maid","plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas, lemon-soft-drinks, sweetened-beverages",france,,,,unknown,,,,,
40822716,Jus de fruit,Minute Maid,,france,,,,unknown,,,,,
42094418,Pamplemousse,minute maid,"plant-based-foods-and-beverages, beverages, plant-based-foods, fruits-and-vegetables-based-foods, fruits-based-foods, plant-based-beverages, fruit-based-beverages, fruits, juices-and-nectars, citrus, fruit-juices, pomelos, grapefruit-juices",france,bouteille-verre,,,d,,,"jus de pamplemousse rose à base de concentré. Roze pompelmoessao NUTRITONELLE VOEDINGSWAARDEPour/Per: 100me n Verzadigde velzuren et Dont acides sa es gras saturés/Waarva 94g,",,
42104773,Minute Maid Multivitamines,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices","belgium, france, luxembourg","tetra-pak, tetra-brik-aseptic",Delhaize,,e,4.0,,"eau; jus de fruits à base de concentré: orange (40.4%), pomme (4.8%), citron (2.3%), raisin (1.8%), pêche (0.8%); sucre; arômes; vitamines C, B3, E, B5, B6, B2 et provitamine A.",,
4710018146305,美粒果柳橙汁,"美粒果,可口可樂,太古可口可樂,Coca-Cola,Minute Maid","beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-nectars, fruit-juices, orange-juices, orange-nectars",taiwan,"plastic, bottle",,Taipei,d,,,"水, 高果糖糖漿, 柳橙果肉, 柳橙濃縮汁, 香料, 檸檬酸, 檸檬酸鈉, 維生素C，複方著色劑(辛烯基丁二酸鈉澱粉, 葡萄糖漿, 胡蘿蔔素, 中鏈三酸甘油酯, 維生素E, 磷酸鈣)",7.91,37.1
4890008200511,Minute Maid Orange Juice Drink,Minute Maid,,hong-kong,bottle,Supermarket,Hong Kong,unknown,,,,8.5,36.0
