code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
0016600000098,Schweppes Soda tonique,,,canada,,,,unknown,,,,,
0078000202465,Sparkling seltzer water,Schweppes,,united-states,,,,unknown,,unknown,,0.0,1.6901000000000002
0078000206401,GINGER ALE,Schweppes,beverages,"france, united-states",,,"New York City,New York,USA",e,4.0,,"Carbonated water, high fructose corn syrup, citric acid, sodium benzoate, caramel color, natural flavors",,
0088009260724,Schweppes,,,france,,,,unknown,,,,,
0088009270617,SCHWEPPES LEMON,Schweppes,"beverages, carbonated-drinks, sodas",france,,,,e,,,,,
0088009270631,Lemon,Schweppes,"plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas, lemon-soft-drinks, sweetened-beverages",france,,,,e,4.0,,"Eau gazéifiée, sucre, jus concentré de citron, arômes naturels de citron, émulsifiants (E444), conservateur (E210), acidifiant (E330), extrait de carthame.",,
01721117,Schweppes poire,schweppes,"beverages, carbonated-drinks",france,,,,unknown,,,,,
0898195001342,Premium Tonic Water,"Fever-tree, Schweppes","beverages, waters","united-states, world","aluminium-cap, glass-bottle",,,d,4.0,,"Carbonated spring water, cane sugar, citric acid, natural flavors, natural quinine.",8.0,33.0
14813748,Ricqles menthe,"Ricqles, Schweppes",,france,,,,unknown,,,,,
2000000000394,Orangina,"Orangina, Schweppes","plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas",france,boite-metal,Orangina sur la plage,Leucate,e,4.0,,"Eau gazéifiée, jus d'orange et autres agrumes à base de concentrés 12% (orange 10%, citron, pamplemousse, mandarine), sucre, pulpe d'orange, extrait de zeste d'orange, arômes naturels d'orange",,
2000000907376,Agrum,Schweppes,,france,,,,unknown,,,,,
3048431005352,Ricqles saveur menthe,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, sodas, sweetened-beverages",france,"plastic, bottle, bouchon-en-plastique, bouteille-en-plastique",,,d,4.0,,"Eau gazéifiée, sucre, arôme naturel de menthe avec autres arômes naturels.",,
3104931611414,Tomate,"Orangina Schweppes, Pampryl","plant-based-foods-and-beverages, beverages, plant-based-foods, fruits-and-vegetables-based-foods, vegetables-based-foods, plant-based-beverages, vegetable-based-foods-and-beverages, juices-and-nectars, vegetable-based-beverages, tomatoes-and-their-products, vegetable-juices, tomato-juices",france,"metal, glass, bottle",,France,b,3.0,,"Jus de tomate, sel.",,
3114481002129,Schweppes zéro,Schweppes,,france,,,,unknown,,,,,
3124480000576,Indian Tonic Schweppes,Schweppes,"beverages, frozen-foods, carbonated-drinks, sodas, tonic-water, sweetened-beverages","belgium, france",,"Magasins U, Delhaize, carrefour.fr",,e,4.0,,"eau gazéifiée, sucre, acidifiant : acide citrique, arôme naturels, arôme : quinine, édulcorants : acesulfame K et sucralose.",,
3124480001184,Schweppes Zéro,Schweppes,"beverages, carbonated-drinks, artificially-sweetened-beverages, sodas, diet-beverages, diet-sodas",france,"can, drink-can",,"Marseille,France",c,4.0,,"eau gazéifiée, acidifiant : acide citrique, édulcorants : acésulfame K et sucralose, arômes naturels, arôme : quinine.",,
3124480001207,Schweppes Indian Tonic,Schweppes,"beverages, carbonated-drinks, sodas, tonic-water, sweetened-beverages, sodas-tonic",france,"can, drink-can",,,e,4.0,,"Eau gazéifiée, A : sirop de glucose-fructose, sucre ou B : sucre, acidifiant : acide citrique, arômes naturels, arôme : quinine",,
3124480001276,Schweppes Zéro,Schweppes,"beverages, carbonated-drinks, artificially-sweetened-beverages, sodas, diet-beverages, diet-sodas",france,pack-de-6-canettes,Utile,"Saint Martin d'Hères,France",c,4.0,,"eau gazéifiée, acidifiant : acide citrique, édulcorants : acésulfame K et sucralose, arômes naturels, arôme : quinine.",,
3124480001405,Schweppes indian tonic,"Orangina Schweppes, Schweppes","beverages, carbonated-drinks, sodas, carbonated-soft-drinks-without-fruit-juice, carbonated-soft-drinks-without-fruit-juice-with-sugar, sweetened-beverages, soda-aux-ecorces-de-quinquina","belgium, france",bouteille-plastique,Leclerc,Conflans-Sainte-Honorine,e,4.0,,"eau gazéfiée, sucre, acidifiant : acide citrique, arômes naturels, arôme : quinine",,
3124480001429,Schweppes Zero INDIAN TONIC,Schweppes,"beverages-and-beverages-preparations, beverages, carbonated-drinks, artificially-sweetened-beverages, sodas, diet-beverages, carbonated-soft-drinks-without-fruit-juice, diet-sodas, tonic-water, carbonated-soft-drinks-without-fruit-juice-with-sugar-and-artificial-sweeteners","france, switzerland","plastic, pet-polyethylene-terephthalate, bouteille-plastique",,,c,4.0,,"eau gazéifiée, acidifiant : acide citrique, édulcorants : acésulfame K et sucralose, arômes naturels, arôme : quinine.",,
3124480001702,Schweppes Indian Tonic,"Indian Tonic, Schweppes","beverages-and-beverages-preparations, beverages, carbonated-drinks, artificially-sweetened-beverages, sodas, tonic-water, sweetened-beverages","belgium, france",bottle,,,e,4.0,,"eau gazéifiée, sucre, acidifiant: (acide citrique), arômes naturels, arôme (quinine), édulcorants : acésulfame K et sucralose).",,
3124480002129,PET 1.5L SCHWEPPES ZERO LEMON,Schweppes,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, artificially-sweetened-beverages, sodas, diet-beverages, fruit-sodas, diet-sodas, lemon-soft-drinks, light-fruit-sodas, light-lemon-soft-drinks, sweetened-beverages","belgium, france, luxembourg, netherlands","bouteille, plastique",,,c,4.0,,"eau gazéifiée, extraits naturels de citron, acidifiant : acide citrique, arôme naturels de citron avec autres arômes naturels, édulcorants : acésulfame K et sucralose, conservateur : E202, amidon modifié, stabilisants (E445,E444)",,
3124480002167,Schweppes lemon,Schweppes,"plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, artificially-sweetened-beverages, sodas, fruit-sodas, lemon-soft-drinks, sweetened-beverages","belgium, france","can, drink-can, boite-alu",Carrefour,Marche en famenne,unknown,4.0,,"eau gazeifiée, A: sirop de glucose-fructose, sucre ou B: sucre (A ou B voir le fond de
la boîte), extraits naturels de citron, acidifiant: acide citrique, arômes naturels de citron avec autres arômes
naturels, conservateur E202, édulcorants (E951, E950), amidon modifié, stabilisants (E445, E444)",,
3124480002174,Schweppes Lemon,Schweppes,"plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas, lemon-soft-drinks, sweetened-beverages",france,bouteille-plastique,Super U,,e,4.0,,"eau gazéifiée, sucre, extraits naturels de citron, acidifiant : acide citrique, arômes naturels de citron avec autres arômes naturels, conservateur : E202, édulcorants (E951, E950), amidon modifié, stabilisants (E445, E444)",,
3124480002303,Schweppes Lemon,Schweppes,"plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, artificially-sweetened-beverages, sodas, fruit-sodas, sweetened-beverages",france,"plastic, bottle, bouteille-a-recycler-en-france, point-vert, triman",,,unknown,4.0,,"eau gazéifiée, A : sirop de glucose-fructose, sucre ou B : sucre (A ou B voir sur le haut de la bouteille), extraits naturels de citron, acidifiant : acide citrique, arômes naturels de citron avec autres arômes naturels, conservateur E202, édulcorants (E951, E950), amidon modifié, stabilisants (E445, E444).",,
