code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
0021136010374,MINERAL WATER CARBONATED,Topo Chico,undefined,united-states,"bottle-or-vial, bottle, glass-bottle",,,a,,,CARBONATED MINERAL WATER BOTTLED ONLY AT SOURCE.,,
0021136010480,Agua Mineral,Cia. Topo Chico  S.A.,"beverages-and-beverages-preparations, beverages, waters, spring-waters, mineral-waters, undefined","mexico, united-states",,,,a,4.0,,MINERAL WATER AND CARBON DIOXIDE.,,
0021136010626,"Topo Chico, Sparkling Carbonatada Agua Mineral Water",Cia. Topo Chico  S.A.,"beverages, waters",united-states,,,,unknown,4.0,,"Mineral water, carbon dioxide.",,
0021136011500,Soda,Cia. Topo Chico  S.A.,"beverages, carbonated-drinks, sodas",united-states,,,,e,4.0,not-applicable,"Carbonated water, cane sugar, artificial and natural flavors, citric acid, caramel color, sodium benzoate (to protect taste).",10.99,42.0
0021136011579,"Topo Chico, Carbonated Beverage, Apple",Cia. Topo Chico  S.A.,"beverages, carbonated-drinks, sodas",united-states,,,,e,4.0,not-applicable,"Carbonated water, cane sugar, citric acid, caramel color, sodium benzoate (preservative), and artificial flavor.",12.24,49.0
0021136013504,"Topo sabores, flavored soda, strawberry, strawberry",Cia. Topo Chico  S.A.,"beverages, carbonated-drinks, sodas",united-states,,,,e,4.0,not-applicable,"Carbonated water, cane sugar, artificial and natural flavors, citric acid, sodium benzoate (to protect taste), fd&c red 40, fd&c yellow 6.",10.99,42.0
0021136013573,"Topo Chico, Carbonated Beverage, Strawberry",Cia. Topo Chico  S.A.,beverages,united-states,,,,e,4.0,unknown,"Carbonated water, cane sugar, citric acid, sodium benzoate (preservative), artificial flavor, red 40 and yellow 6.",12.24,49.0
0021136014501,"Topo sabores, artificially flavored soda, peach, peach",Cia. Topo Chico  S.A.,"beverages, carbonated-drinks, sodas",united-states,,,,e,4.0,not-applicable,"Carbonated water (water, carbon dioxide), high fructose corn syrup, cane sugar, citric acid, sodium benzoate (preservative), artificial flavor, yellow 6, red 40.",12.68,51.0
0021136015508,"Tope Sabores, Orange Soda, Orange",Cia. Topo Chico  S.A.,"beverages, carbonated-drinks, sodas",united-states,,,,e,4.0,not-applicable,"Carbonated water, cane sugar, artificial and natural flavors, modified food starch, sodium benzoate (to protect taste), citric acid, fd&c yellow 5, fd&c yellow 6, fd&c red 40, glycerol ester of wood niacin, brominated vegetable oil.",11.27,42.0
0021136016185,"Topo Chico, Twist Of Grapefruit",Cia. Topo Chico  S.A.,"beverages, waters",united-states,,,,b,1.0,,"Carbonated water, citric acid, natural grapefruit flavor.",0.0,0.0
